,stepNo,text,useStove,leavable,duration,start,end
0,0.0,1/4束,False,False,0.0,4.0,5.0
1,1.0,根元を切り落とす,False,False,0.0,5.5,7.5
2,2.0,半分に切り揃える,False,False,0.0,8.5,12.0
3,3.0,細かく刻む,False,False,0.0,12.5,14.0
4,4.0,田かく刻む,False,False,0.0,14.5,14.5
5,5.0,細かく刻む,False,False,0.0,15.0,15.0
6,6.0,ボウルにニラ&Rれる,False,False,0.0,16.0,17.5
7,7.0,にこも,False,False,0.0,18.5,18.5
8,8.0,砂糖,False,False,0.0,19.0,19.5
9,9.0,しょうゆ大さじ2,False,False,0.0,20.0,22.0
10,10.0,豆板醤,False,False,0.0,23.0,24.0
11,11.0,ごま油小さ,False,False,0.0,25.0,26.0
12,12.0,白すりごま,False,False,0.0,27.0,28.0
13,13.0,おろししょうが,False,False,0.0,29.0,30.0
14,14.0,白ごはん,False,False,0.0,31.0,33.0
15,15.0,混ぜる,False,False,0.0,33.5,36.5
16,16.0,天板に,False,False,0.0,41.5,43.5
17,17.0,トースターで焼き色がつくまで15-20分,False,False,20.0,46.0,46.5
