,stepNo,text,useStove,leavable,duration,start,end
0,0.0,冷凍シュウマイ6個,False,False,0.0,4.0,5.0
1,1.0,ふんとラップをする,False,False,0.0,6.0,7.5
2,2.0,600Wのレンジで表記時間通り,False,False,0.0,8.0,9.0
3,3.0,サンド4:チ用パン,False,False,0.0,9.5,9.5
4,4.0,サンドイッチ用パン6枚,False,False,0.0,10.0,10.5
5,5.0,水に入れでくぐらせる,False,False,0.0,11.0,12.0
6,6.0,キッチンペーパーにおく,False,False,0.0,13.0,14.0
7,7.0,挟んで分をふきとる,False,False,0.0,15.5,17.0
8,8.0,ラップの上にパンをおく,False,False,0.0,18.0,18.5
9,9.0,シュウマイをのせる,False,False,0.0,19.5,20.5
10,10.0,パンの端と端をとじる,False,False,0.0,21.5,23.0
11,11.0,ラップで包む,False,False,0.0,24.0,26.0
12,12.0,ねじって形をととのえる,False,False,0.0,26.5,28.5
13,13.0,耐熱容器に並伏る,False,False,0.0,30.0,30.5
14,14.0,600Wの,False,False,0.0,32.5,32.5
