,stepNo,text,useStove,leavable,duration,start,end
0,0.0,キャベツ3枚,False,False,0.0,4.5,5.0
1,1.0,食べやすい大きさに切,False,False,0.0,6.0,8.5
2,2.0,1本,False,False,0.0,9.5,10.0
3,3.0,ねぎ,False,False,0.0,10.5,10.5
4,4.0,食べやすい大きさに切る,False,False,0.0,11.5,12.5
5,5.0,青い部分は薄切りにする,False,False,0.0,14.0,14.5
6,6.0,青い部分1薄切りにずる,False,False,0.0,15.0,15.0
7,7.0,フ150g,False,False,0.0,16.0,17.0
8,8.0,食べやすい大きさに切る,False,False,0.0,18.0,20.0
9,9.0,卵,False,False,0.0,23.0,23.0
10,10.0,12分ゆでる,False,False,12.0,24.0,25.0
11,11.0,半分に切,False,False,0.0,29.0,29.0
12,12.0,半分に切る,False,False,0.0,29.5,31.0
13,13.0,rlcups0,False,False,0.0,32.0,50.5
14,14.0,さじ2,False,False,0.0,51.0,60.0
15,15.0,分ほど煮る,False,False,0.0,67.0,67.0
16,16.0,のねぎをのせる,False,False,0.0,68.0,71.5
