,stepNo,text,useStove,leavable,duration,start,end
0,0.0,厚揚げ1枚(160g),False,False,0.0,4.0,4.5
1,1.0,縦半分に切る,False,False,0.0,5.5,6.5
2,2.0,1cm幅に切る,False,False,0.0,7.5,8.5
3,3.0,i1合わせ調味料1洒大さじ1,False,False,0.0,9.5,9.5
4,4.0,il合わせ調味料1酒大さじ1,False,False,0.0,10.0,10.0
5,5.0,合わせ調味料1浯大さじ1,False,False,0.0,10.5,11.0
6,6.0,ごま油小さじ2,False,False,0.0,22.5,24.0
7,7.0,厚揚げ入れる,False,False,0.0,25.0,26.5
8,8.0,焼き色がつくまで中火で焼く,False,False,0.0,27.5,29.0
9,9.0,しんなりするまで炒める,False,False,0.0,33.0,34.5
10,10.0,/3束(3cm幅),False,False,0.0,35.5,37.0
11,11.0,合わせ調味料を入れる,False,False,0.0,38.0,39.5
