,stepNo,text,useStove,leavable,duration,start,end
0,0.0,うどん1玉(冷凍),False,False,0.0,4.5,5.0
1,1.0,ふんわりとラップをする,False,False,0.0,6.0,7.5
2,2.0,レンジで表記通り加熱する,False,False,0.0,8.5,9.0
3,3.0,2,False,False,0.0,10.0,10.0
4,4.0,52個,False,False,0.0,10.5,11.5
5,5.0,混ぜる,False,False,0.0,12.0,13.5
6,6.0,塩こしょう少,False,False,0.0,14.5,16.0
7,7.0,混ぜる,False,False,0.0,17.0,18.5
8,8.0,サラダ.大さじ1,False,False,0.0,20.5,21.5
9,9.0,豚こま50g,False,False,0.0,22.5,23.5
10,10.0,中火で火が通るまで炒める,False,False,0.0,24.5,26.0
11,11.0,もやし1/2袋,False,False,0.0,27.0,27.5
12,12.0,油が回る程度に炒める,False,False,0.0,28.5,30.5
13,13.0,うどんを加える,False,False,0.0,31.5,33.0
14,14.0,お好み焼きソース大さじ4,False,False,0.0,34.0,34.5
15,15.0,炒める,False,False,0.0,36.0,37.5
16,16.0,かつお節1/2袋(2g),False,False,0.0,38.5,39.0
17,17.0,全体を炒め合わせる,False,False,0.0,40.0,41.5
18,18.0,器に盛る,False,False,0.0,43.0,43.0
19,19.0,サラダ油大さじ1,False,False,0.0,44.0,45.0
20,20.0,卵を流し入れる,False,False,0.0,46.0,47.5
21,21.0,中火で混ぜながら加熱する,False,False,0.0,48.5,50.0
22,22.0,半熟状態になったらうどんにのせる,False,False,0.0,51.0,51.5
