,stepNo,text,useStove,leavable,duration,start,end
0,0.0,きゅうり,False,False,0.0,4.0,5.0
1,1.0,薄切りにす,False,False,0.0,6.0,8.0
2,2.0,塩(分量外:小さじT73)を加える,False,False,0.0,11.5,13.0
3,3.0,もんで3分おく,False,False,3.0,14.0,16.5
4,4.0,水気をしぼる,False,False,0.0,17.5,18.5
5,5.0,1缶(70g),False,False,0.0,19.5,20.5
6,6.0,缶汁を切る,False,False,0.0,21.0,22.0
7,7.0,什を切,False,False,0.0,22.5,22.5
8,8.0,しょうゆ小さじ1,False,False,0.0,23.5,25.0
9,9.0,マヨネーズ大さじ2,False,False,0.0,26.0,28.5
10,10.0,ごま油小さじ1,False,False,0.0,29.5,31.5
11,11.0,塩こしょう少な,False,False,0.0,32.5,36.0
12,12.0,混ぜる,False,False,0.0,37.0,40.0
13,13.0,ベビーホタテ/150g(ボイル),False,False,0.0,41.0,42.5
14,14.0,きゅうりとツナを加える,False,False,0.0,43.5,45.0
15,15.0,あえて完成!,False,False,0.0,46.5,50.0
