,stepNo,text,useStove,leavable,duration,start,end
0,0.0,卵2個,False,False,0.0,3.5,4.5
1,1.0,卵白と卵黄に分ける,False,False,0.0,6.0,8.5
2,2.0,ボウルに卵白を入れる,False,False,0.0,10.0,11.5
3,3.0,納豆パック2,False,False,0.0,12.5,13.5
4,4.0,納豆のたれ2個,False,False,0.0,14.5,16.0
5,5.0,よく混ぜる,False,False,0.0,17.0,19.0
6,6.0,あたたかいごはんどんぷ!,False,False,0.0,20.5,21.5
7,7.0,納豆をのせる,False,False,0.0,23.0,24.0
8,8.0,大さじ3,False,False,0.0,25.0,26.0
9,9.0,卵黄をのせる,False,False,0.0,27.0,28.0
10,10.0,揚げ玉大さじ2,False,False,0.0,29.5,30.5
11,11.0,ねぎ適量(刻み),False,False,0.0,31.5,32.0
12,12.0,細ねぎ適量(刻み),False,False,0.0,32.5,32.5
