,stepNo,text,useStove,leavable,duration,start,end
0,0.0,しいたけ3個,False,False,0.0,4.0,4.0
1,1.0,根元を切り落とす,False,False,0.0,5.5,6.5
2,2.0,みじん切りにする,False,False,0.0,7.5,8.5
3,3.0,772ねぎ/2本,False,False,0.0,9.5,9.5
4,4.0,プ>ねぎ1/2本,False,False,0.0,10.0,10.5
5,5.0,1みじん切りにする,False,False,0.0,11.0,12.0
6,6.0,しょうが,False,False,0.0,13.0,13.5
7,7.0,みじん切りにする,False,False,0.0,15.0,15.5
8,8.0,にんにくかけ,False,False,0.0,16.5,17.0
9,9.0,みじん切りにする,False,False,0.0,18.0,18.5
10,10.0,ゴマだれ酒大さじ1IL,False,False,0.0,19.5,20.5
11,11.0,ゴマだれ,False,False,0.0,21.0,21.0
12,12.0,ゴマだれ!砂糖小,False,False,0.0,21.5,22.5
13,13.0,ゴマだれ,False,False,0.0,23.0,23.0
14,14.0,ゴマだれしょうゆ小さじ2,False,False,0.0,23.5,24.5
15,15.0,ゴマだれ,False,False,0.0,25.0,25.5
16,16.0,ゴマだれみそ小さじ1,False,False,0.0,26.0,26.5
17,17.0,ゴマだれ,False,False,0.0,27.0,27.0
18,18.0,ゴマだれすりゴマ大さじ2,False,False,0.0,27.5,28.5
19,19.0,ゴマだれ,False,False,0.0,29.0,29.5
20,20.0,ゴマだれ鶏ガラスープの素小さじ1,False,False,0.0,30.0,30.5
21,21.0,ゴマだれ,False,False,0.0,31.0,31.0
22,22.0,ゴマだれ大さじ,False,False,0.0,31.5,32.5
23,23.0,ゴマだれ,False,False,0.0,33.0,33.5
24,24.0,ゴマだれ混ぜ合わせる,False,False,0.0,34.0,34.5
25,25.0,ごま油kさじ1,False,False,0.0,35.5,60.5
