,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ラップの上におく,False,False,0.0,15.5,16.5
1,1.0,2重にして巻く,False,False,0.0,17.5,20.0
2,2.0,600Wのレンジで2分,False,False,2.0,23.0,23.5
3,3.0,ミニトマト,False,False,0.0,29.5,30.5
4,4.0,半分に切る,False,False,0.0,31.5,33.0
5,5.0,黄パプリカ1/4個,False,False,0.0,33.5,35.0
6,6.0,千切りにする,False,False,0.0,36.0,37.5
7,7.0,マヨネーズ大さじ2,False,False,0.0,38.0,40.0
8,8.0,マスタード大さじ12,False,False,0.0,40.5,42.0
9,9.0,2,False,False,0.0,43.0,44.5
10,10.0,混ぜる,False,False,0.0,45.5,46.5
11,11.0,薄切りにする,False,False,0.0,49.5,51.5
12,12.0,レ2,False,False,0.0,54.5,55.5
13,13.0,サニーレタス枚2,False,False,0.0,56.0,56.0
14,14.0,ローストビーフをのせる,False,False,0.0,56.5,58.0
15,15.0,ミニトマトをのせる,False,False,0.0,59.0,60.0
16,16.0,黄パプリカを飾って完成!,False,False,0.0,61.0,62.5
