,stepNo,text,useStove,leavable,duration,start,end
0,0.0,食パン(6枚切り1枚,False,False,0.0,4.0,4.5
1,1.0,6等分に切る,False,False,0.0,5.5,8.5
2,2.0,インスタントコーヒー大さじ1,False,False,0.0,10.0,10.5
3,3.0,湯大さじ11,False,False,0.0,11.5,13.5
4,4.0,溶く,False,False,0.0,14.5,16.0
5,5.0,卵1個,False,False,0.0,17.5,19.0
6,6.0,混ぜる,False,False,0.0,19.5,21.5
7,7.0,1混ぜる,False,False,0.0,22.0,22.5
8,8.0,牛乳150cc,False,False,0.0,23.5,23.5
9,9.0,牛150cc,False,False,0.0,24.0,24.0
10,10.0,牛乳150cc,False,False,0.0,24.5,25.0
11,11.0,乳150cc,False,False,0.0,25.5,25.5
12,12.0,大さじ2,False,False,0.0,26.5,28.0
13,13.0,インスタントコーヒーを入れる,False,False,0.0,29.0,31.0
14,14.0,混ぜる,False,False,0.0,32.5,35.0
15,15.0,バンを入れる,False,False,0.0,36.0,37.5
16,16.0,1オレオ,False,False,0.0,38.0,40.0
17,17.0,全体に染み込むようにひたす,False,False,0.0,41.0,42.5
18,18.0,食パンとオレオを交互に並べる,False,False,0.0,44.0,45.5
19,19.0,残ったれる,False,False,0.0,49.0,51.0
20,20.0,ふんわりとラップする1,False,False,0.0,52.0,54.0
21,21.0,600Wの,False,False,0.0,55.0,55.0
22,22.0,シュマ,False,False,0.0,59.0,63.5
23,23.0,が溶けたり!,False,False,0.0,64.0,64.0
24,24.0,ュマロが溶けたあわがり!,False,False,0.0,64.5,64.5
