,stepNo,text,useStove,leavable,duration,start,end
0,0.0,レタス4枚,False,False,0.0,4.0,5.5
1,1.0,食べやすい大きさにちぎる,False,False,0.0,6.0,9.0
2,2.0,ちくわ2本,False,False,0.0,12.0,12.5
3,3.0,1cm幅に切る,False,False,0.0,13.5,15.5
4,4.0,11味砂糖小さじ1,False,False,0.0,16.0,16.0
5,5.0,調味料砂糖小さじ1,False,False,0.0,16.5,18.0
6,6.0,調味料,False,False,0.0,18.5,18.5
7,7.0,調味料酢大さじ1と1/2,False,False,0.0,19.0,20.5
8,8.0,調味料,False,False,0.0,21.0,21.0
9,9.0,調味料ごま油小さじ1,False,False,0.0,21.5,23.5
10,10.0,調味料,False,False,0.0,24.0,24.0
11,11.0,調味料おろしにんにく小さじ1/2,False,False,0.0,24.5,26.5
12,12.0,調味料,False,False,0.0,27.0,27.0
13,13.0,調味料コチュジャン小さじ1,False,False,0.0,27.5,29.0
14,14.0,調味料,False,False,0.0,29.5,29.5
15,15.0,調味料混ぜる,False,False,0.0,30.0,32.5
16,16.0,調味料,False,False,0.0,33.0,34.0
17,17.0,器にレタスとちくわを盛る,False,False,0.0,35.0,38.0
18,18.0,"調味料をかはて,成",False,False,0.0,38.5,40.0
