,stepNo,text,useStove,leavable,duration,start,end
0,0.0,にんじん1/3本(50g),False,False,0.0,4.0,4.5
1,1.0,縦半分に切る,False,False,0.0,5.5,7.0
2,2.0,薄切りにする,False,False,0.0,8.0,9.0
3,3.0,しめじ1121則ク,False,False,0.0,10.0,11.0
4,4.0,根元を切り落と,False,False,0.0,12.0,14.0
5,5.0,手でほぐす,False,False,0.0,14.5,16.0
6,6.0,ね,False,False,0.0,17.0,18.0
7,7.0,薄切りにする,False,False,0.0,18.5,20.5
8,8.0,焼き豚120g,False,False,0.0,21.0,22.0
9,9.0,1cm角に切る,False,False,0.0,23.0,28.0
10,10.0,IH1:2,False,False,0.0,28.5,28.5
11,11.0,IH合(洗米済み)予約!取消,False,False,0.0,29.0,30.0
12,12.0,厅alIH合(洗米済み)飯多約1:2j拶取消,False,False,0.0,30.5,31.5
13,13.0,ち米(洗米済み)11HTi予約コース,False,False,0.0,32.0,32.5
14,14.0,予約取消コース,False,False,0.0,33.0,33.0
15,15.0,豚を加える.予約炊飯コース,False,False,0.0,33.5,33.5
16,16.0,を加える炊飯,False,False,0.0,35.0,35.0
17,17.0,豚を加え予約炊飯,False,False,0.0,35.5,35.5
18,18.0,1H00g(むき)予約コース,False,False,0.0,36.0,37.0
19,19.0,IH00g(むぎ)予約炊飯,False,False,0.0,37.5,37.5
20,20.0,11H400g(むき)炊飯コース,False,False,0.0,38.0,38.0
21,21.0,を加え予約炊飯コース取消,False,False,0.0,38.5,39.0
22,22.0,T-Hじを加える予約炊飯コース取消切,False,False,0.0,39.5,40.0
23,23.0,じを加える予約炊飯,False,False,0.0,40.5,40.5
24,24.0,じんを加える予ㄧㄣ52取淵コース,False,False,0.0,41.0,42.5
25,25.0,IH予約炊飯取消,False,False,0.0,43.0,45.5
26,26.0,IH夫さじ1节約,False,False,0.0,46.0,47.5
27,27.0,1H多約炊飯コース取消,False,False,0.0,48.0,48.0
28,28.0,1Hさじ1/予約122,False,False,0.0,48.5,50.5
29,29.0,THlin炊飯取消,False,False,0.0,51.0,53.5
30,30.0,"IH弔約,取消コース",False,False,0.0,54.0,57.0
31,31.0,IH500cc韦約炊飯コース,False,False,0.0,57.5,60.0
32,32.0,混ぜるIH約炊飯522取消,False,False,0.0,60.5,62.5
33,33.0,1H多約炊飯コース取消,False,False,0.0,63.0,63.5
34,34.0,通常炊飯して完,False,False,0.0,64.0,64.0
35,35.0,鶚牛やけとのおそnatのおそれあり通常炊飯して完成!,False,False,0.0,64.5,65.0
