,stepNo,text,useStove,leavable,duration,start,end
0,0.0,1個,False,False,0.0,6.5,6.5
1,1.0,混ぜる,False,False,0.0,7.5,10.0
2,2.0,ピザ用チーズ15g,False,False,0.0,11.5,12.5
3,3.0,牛乳大さじ1,False,False,0.0,14.0,15.5
4,4.0,混ぜる,False,False,0.0,16.5,19.0
5,5.0,たらこ1/2本,False,False,0.0,20.0,21.5
6,6.0,身を取り出す,False,False,0.0,22.5,24.0
7,7.0,マヨネーズ大さじ1と1/2,False,False,0.0,25.5,27.0
8,8.0,混ぜる,False,False,0.0,28.0,30.5
9,9.0,リーブオイパさじ1/2,False,False,0.0,32.0,32.0
10,10.0,リープンイル2,False,False,0.0,32.5,33.0
11,11.0,リーブオ,False,False,0.0,33.5,33.5
12,12.0,液を流し込む,False,False,0.0,34.5,35.0
13,13.0,g液を流し込む,False,False,0.0,35.5,35.5
14,14.0,液を流し込,False,False,0.0,36.0,36.0
15,15.0,熟になる,False,False,0.0,39.5,40.0
16,16.0,どんぶり1杯,False,False,0.0,41.5,42.5
17,17.0,Arをのぜる,False,False,0.0,43.5,44.0
18,18.0,材をのせる具,False,False,0.0,44.5,44.5
19,19.0,細ねぎ(刻み)彐巨,False,False,0.0,46.0,47.0
20,20.0,刻み海苔をちらして完成!,False,False,0.0,48.5,50.5
