,stepNo,text,useStove,leavable,duration,start,end
0,0.0,レタス1/4個,False,False,0.0,4.0,4.5
1,1.0,食べやすい大きさに切る,False,False,0.0,6.0,7.5
2,2.0,もやし1124,False,False,0.0,11.0,11.5
3,3.0,ふんわりとラップをする,False,False,0.0,13.0,13.5
4,4.0,600Wのレンジで3分,False,False,3.0,14.0,15.0
5,5.0,水気を切る,False,False,0.0,18.0,18.5
6,6.0,鶏ガラスープの素小さじ172,False,False,0.0,20.0,21.0
7,7.0,塩ひとつまみ,False,False,0.0,22.0,22.5
8,8.0,ごま油大さじT,False,False,0.0,24.0,25.0
9,9.0,混ぜ合わせる,False,False,0.0,26.0,28.0
10,10.0,もやしを加える,False,False,0.0,29.0,30.0
11,11.0,レタスを加える,False,False,0.0,31.5,32.5
12,12.0,白いりごま小さじ1,False,False,0.0,34.0,34.5
13,13.0,あえ,False,False,0.0,36.0,37.5
