,stepNo,text,useStove,leavable,duration,start,end
0,0.0,そうめん100g,False,False,0.0,3.5,5.5
1,1.0,示通り,False,False,0.0,6.0,10.0
2,2.0,る,False,False,0.0,10.5,10.5
3,3.0,もやし,False,False,0.0,12.0,12.5
4,4.0,水気を切る,False,False,0.0,17.5,17.5
5,5.0,4枚,False,False,0.0,18.5,19.0
6,6.0,千切りにす,False,False,0.0,20.0,22.0
7,7.0,ラスープ,False,False,0.0,23.0,24.5
8,8.0,こしょう,False,False,0.0,30.0,30.5
9,9.0,沸騰したら,False,False,0.0,31.5,32.0
10,10.0,0沸騰したら器に入れる,False,False,0.0,32.5,33.0
11,11.0,沸器,False,False,0.0,33.5,33.5
12,12.0,沸騰したら入れる,False,False,0.0,34.0,34.0
13,13.0,したらに天れる,False,False,0.0,34.5,34.5
14,14.0,騰した器に天れる,False,False,0.0,35.0,35.0
15,15.0,沸騰したる,False,False,0.0,37.0,37.0
16,16.0,そうめんる,False,False,0.0,38.0,38.0
17,17.0,そうめんをたれる,False,False,0.0,38.5,38.5
18,18.0,んを入れる,False,False,0.0,39.0,39.0
19,19.0,うーんを入れる,False,False,0.0,39.5,39.5
20,20.0,"屁,そうる",False,False,0.0,40.0,40.0
21,21.0,るも,False,False,0.0,40.5,40.5
22,22.0,もる,False,False,0.0,41.0,41.0
23,23.0,-もやしをのせる,False,False,0.0,41.5,41.5
24,24.0,やしをのせる,False,False,0.0,42.0,42.0
25,25.0,をのせる,False,False,0.0,42.5,42.5
26,26.0,もやしをのせる,False,False,0.0,43.0,43.0
