,stepNo,text,useStove,leavable,duration,start,end
0,0.0,ゆず72個,False,False,0.0,3.5,4.5
1,1.0,皮をずりおろす,False,False,0.0,5.0,6.0
2,2.0,果汁をしぼる,False,False,0.0,7.0,9.0
3,3.0,厚揚げ1丁(300g),False,False,0.0,11.0,13.0
4,4.0,4等分に切る,False,False,0.0,14.5,16.5
5,5.0,たれ,False,False,0.0,17.5,17.5
6,6.0,たれ砂糖小さじ1,False,False,0.0,18.0,19.0
7,7.0,たれ!,False,False,0.0,19.5,20.0
8,8.0,たれみりん大さじ1,False,False,0.0,20.5,22.0
9,9.0,たれ,False,False,0.0,22.5,22.5
10,10.0,たれみそ大さじ1と1/2,False,False,0.0,23.0,25.0
11,11.0,たれ,False,False,0.0,25.5,25.5
12,12.0,たれ混ぜる,False,False,0.0,26.0,29.0
13,13.0,たれ,False,False,0.0,29.5,30.0
14,14.0,たれ果汁を加える,False,False,0.0,30.5,32.0
15,15.0,たれ1,False,False,0.0,32.5,33.0
16,16.0,たれ皮を加える,False,False,0.0,33.5,34.5
17,17.0,たれ,False,False,0.0,35.0,35.5
18,18.0,たれ混ぜる,False,False,0.0,36.0,39.0
19,19.0,たれ,False,False,0.0,39.5,41.0
20,20.0,1たれ600Wのレンジで1分,False,False,1.0,41.5,42.5
21,21.0,ピザ𦐑チーズ13里,False,False,0.0,49.0,51.5
22,22.0,トースターで5分焼く,False,False,5.0,52.0,52.5
23,23.0,細ねぎをちらして完成!,False,False,0.0,53.5,55.0
