,stepNo,text,useStove,leavable,duration,start,end
0,0.0,アボカド1個,False,False,0.0,4.0,5.0
1,1.0,種を取り皮をむく,False,False,0.0,6.5,10.0
2,2.0,2cmの角切りにする,False,False,0.0,11.5,14.0
3,3.0,きゅうり1本,False,False,0.0,15.5,16.5
4,4.0,千切りにする,False,False,0.0,18.0,20.5
5,5.0,大葉4枚,False,False,0.0,22.5,23.0
6,6.0,千切りにする,False,False,0.0,24.5,26.5
7,7.0,スパゲティ150g,False,False,0.0,28.0,29.0
8,8.0,半分に折って入れ寺間通りゆでる,False,False,0.0,30.0,30.0
9,9.0,水気を切る,False,False,0.0,33.5,34.5
10,10.0,ボウルにアボカドきゅうりを入れる,False,False,0.0,35.5,35.5
11,11.0,ボウレにアボカドときゅうりを入れる,False,False,0.0,36.0,38.5
12,12.0,マヨネーズ大さじ2,False,False,0.0,39.5,41.0
13,13.0,わさび小さじ1/2,False,False,0.0,42.0,43.5
14,14.0,レモン汁小さじ1,False,False,0.0,44.5,46.0
15,15.0,小さじ1/4,False,False,0.0,47.0,48.0
16,16.0,黒こしょう適量,False,False,0.0,49.0,50.5
17,17.0,混ぜる,False,False,0.0,51.5,53.0
18,18.0,スパゲティを入れる,False,False,0.0,54.5,54.5
19,19.0,混ぜる,False,False,0.0,56.5,58.5
20,20.0,いくらと大のせて完,False,False,0.0,62.0,62.0
