,stepNo,text,useStove,leavable,duration,start,end
0,0.0,節約ボリューム丼》,False,False,0.0,3.5,3.5
1,1.0,厚揚げ1/2枚(90g),False,False,0.0,4.5,4.5
2,2.0,1cm角に切る,False,False,0.0,6.0,9.0
3,3.0,サラダ油大さじ1/2,False,False,0.0,10.0,10.5
4,4.0,もザし,False,False,0.0,12.0,12.0
5,5.0,もやし,False,False,0.0,12.5,12.5
6,6.0,もやし1/2,False,False,0.0,13.0,13.0
7,7.0,厚揚げを入れる,False,False,0.0,14.5,15.0
8,8.0,でもやしがDんなりするまで炒める,False,False,0.0,16.5,16.5
9,9.0,中火でもやしがDんなりするまで炒める,False,False,0.0,17.0,18.5
10,10.0,大さじ1,False,False,0.0,27.5,27.5
11,11.0,み大さじ1,False,False,0.0,28.0,29.0
12,12.0,炒め合わせる,False,False,0.0,32.0,32.0
13,13.0,水溶き片栗粉片栗粉小さじ1小さじ1,False,False,0.0,35.5,37.5
14,14.0,炒め合わせる,False,False,0.0,38.5,38.5
15,15.0,め合わせる,False,False,0.0,39.0,39.5
16,16.0,炒め合わせる,False,False,0.0,40.0,41.0
17,17.0,細ねぎを散らして完成!,False,False,0.0,42.5,45.5
