,stepNo,text,useStove,leavable,duration,start,end
0,0.0,キャベツ1/4個,False,False,0.0,4.0,5.0
1,1.0,千切りにする,False,False,0.0,6.5,9.0
2,2.0,塩少々,False,False,0.0,10.5,12.0
3,3.0,混ぜる,False,False,0.0,13.0,16.0
4,4.0,3分置き軽く水気を絞る,False,False,3.0,16.5,18.0
5,5.0,ゆず1/2個,False,False,0.0,18.5,19.0
6,6.0,皮をむく1,False,False,0.0,19.5,21.0
7,7.0,千切りにする,False,False,0.0,22.0,24.5
8,8.0,ゆずの皮を加える,False,False,0.0,28.5,29.5
9,9.0,ゆず果汁)大さじ,False,False,0.0,30.5,32.0
10,10.0,マヨネーズ大さじ2,False,False,0.0,33.5,36.0
11,11.0,こしょう少々,False,False,0.0,37.5,38.5
12,12.0,混ぜ合わせて完成!,False,False,0.0,40.0,44.0
